Escalator,Value,Timeslice (month)
CC NG 28,0.8818,M8
CC NG 28,0.8818,M9
CC NG 29,0.8,M1
CC NG 29,0.8,M10
CC NG 29,0.8,M11
CC NG 29,0.8,M12
CC NG 29,0.8,M2
CC NG 29,0.8,M3
CC NG 29,0.8,M4
CC NG 29,0.8,M5
CC NG 29,0.8,M6
CC NG 29,0.8,M7
CC NG 29,0.8,M8
CC NG 29,0.8,M9
CC NG 3,0.8151,M1
CC NG 3,0.8151,M10
CC NG 3,0.8151,M11
CC NG 3,0.8151,M12
CC NG 3,0.8151,M2
CC NG 3,0.8151,M3
CC NG 3,0.8151,M4
CC NG 3,0.8151,M5
CC NG 3,0.8151,M6
CC NG 3,0.8151,M7
CC NG 3,0.8151,M8
CC NG 3,0.8151,M9
CC NG 31,0.9569,M1
CC NG 31,0.9569,M10
CC NG 31,0.9569,M11
CC NG 31,0.9569,M12
CC NG 31,0.9569,M2
CC NG 31,0.9569,M3
CC NG 31,0.9569,M4
CC NG 31,0.9569,M5
CC NG 31,0.9569,M6
CC NG 31,0.9569,M7
CC NG 31,0.9569,M8
CC NG 31,0.9569,M9
CC NG 32,1.0529,M1
CC NG 32,1.0529,M10
CC NG 32,1.0529,M11
CC NG 32,1.0529,M12
CC NG 32,1.0529,M2
CC NG 32,1.0529,M3
CC NG 32,1.0529,M4
CC NG 32,1.0529,M5
CC NG 32,1.0529,M6
CC NG 32,1.0529,M7
CC NG 32,1.0529,M8
CC NG 32,1.0529,M9
CC NG 33,0.7375,M1
CC NG 33,0.7361,M10
CC NG 33,0.7369,M11
CC NG 33,0.7375,M12
CC NG 33,0.7372,M2
CC NG 33,0.7369,M3
CC NG 33,0.7364,M4
CC NG 33,0.7355,M5
CC NG 33,0.6975,M6
CC NG 33,0.6969,M7
CC NG 33,0.6969,M8
CC NG 33,0.6975,M9
CC NG 34,1,M1
CC NG 34,0.8296,M10
CC NG 34,0.8296,M11
CC NG 34,0.8296,M12
CC NG 34,1,M2
CC NG 34,1,M3
CC NG 34,1,M4
CC NG 34,1,M5
CC NG 34,0.8296,M6
CC NG 34,0.8296,M7
CC NG 34,0.8296,M8
CC NG 34,0.8296,M9
CC NG 35,0.958,M1
CC NG 35,0.958,M10
CC NG 35,0.958,M11
CC NG 35,0.958,M12
CC NG 35,0.958,M2
CC NG 35,0.958,M3
CC NG 35,0.958,M4
CC NG 35,0.958,M5
CC NG 35,0.9445,M6
CC NG 35,0.9445,M7
CC NG 35,0.9445,M8
CC NG 35,0.9445,M9
CC NG 36,0.976,M1
CC NG 36,0.976,M10
CC NG 36,0.976,M11
CC NG 36,0.976,M12
CC NG 36,0.976,M2
CC NG 36,0.976,M3
CC NG 36,0.976,M4
CC NG 36,0.9696,M5
CC NG 36,0.9567,M6
CC NG 36,0.9535,M7
CC NG 36,0.9567,M8
CC NG 36,0.9615,M9
CC NG 37,1,M1
CC NG 37,0.8726,M10
CC NG 37,0.8726,M11
CC NG 37,0.8726,M12
CC NG 37,1,M2
CC NG 37,1,M3
CC NG 37,1,M4
CC NG 37,1,M5
CC NG 37,0.8333,M6
CC NG 37,0.8333,M7
CC NG 37,0.8333,M8
CC NG 37,0.8333,M9
CC NG 38,0.8452,M1
CC NG 38,0.8452,M10
CC NG 38,0.8452,M11
CC NG 38,0.8452,M12
CC NG 38,0.8452,M2
CC NG 38,0.8452,M3
CC NG 38,0.8452,M4
CC NG 38,0.8452,M5
CC NG 38,0.7869,M6
CC NG 38,0.7869,M7
CC NG 38,0.7869,M8
CC NG 38,0.7869,M9
CC NG 39,0.7854,M1
CC NG 39,0.7854,M10
CC NG 39,0.7854,M11
CC NG 39,0.7854,M12
CC NG 39,0.7854,M2
CC NG 39,0.7854,M3
CC NG 39,0.7854,M4
CC NG 39,0.7854,M5
CC NG 39,0.7854,M6
CC NG 39,0.7854,M7
CC NG 39,0.7854,M8
CC NG 39,0.7854,M9
CC NG 4,0.9753,M1
CC NG 4,0.9753,M10
CC NG 4,0.9753,M11
CC NG 4,0.9753,M12
CC NG 4,0.9753,M2
CC NG 4,0.9753,M3
CC NG 4,0.9753,M4
CC NG 4,0.9753,M5
CC NG 4,0.9461,M6
CC NG 4,0.9461,M7
CC NG 4,0.9461,M8
CC NG 4,0.9461,M9
CC NG 5,1.04,M1
CC NG 5,1.04,M10
CC NG 5,1.04,M11
CC NG 5,1.04,M12
CC NG 5,1.04,M2
CC NG 5,1.04,M3
CC NG 5,1.04,M4
CC NG 5,1.04,M5
CC NG 5,0.9,M6
CC NG 5,0.9,M7
CC NG 5,0.9,M8
CC NG 5,0.9,M9
CC NG 6,1,M1
CC NG 6,1,M10
CC NG 6,1,M11
CC NG 6,1,M12
CC NG 6,1,M2
CC NG 6,1,M3
CC NG 6,1,M4
CC NG 6,1,M5
CC NG 6,1,M6
CC NG 6,1,M7
CC NG 6,1,M8
CC NG 6,1,M9
CC NG 7,1,M1
CC NG 7,0.9492,M10
CC NG 7,0.9492,M11
CC NG 7,0.9492,M12
CC NG 7,1,M2
CC NG 7,1,M3
CC NG 7,1,M4
CC NG 7,1,M5
CC NG 7,0.931,M6
CC NG 7,0.931,M7
CC NG 7,0.931,M8
CC NG 7,0.931,M9
CC NG 8,0.958,M1
CC NG 8,0.958,M10
CC NG 8,0.958,M11
CC NG 8,0.958,M12
CC NG 8,0.958,M2
CC NG 8,0.958,M3
CC NG 8,0.958,M4
CC NG 8,0.958,M5
CC NG 8,0.9301,M6
CC NG 8,0.9301,M7
CC NG 8,0.9301,M8
CC NG 8,0.9301,M9
CC NG 9,0.9091,M1
CC NG 9,0.9091,M10
CC NG 9,0.9091,M11
CC NG 9,0.9091,M12
CC NG 9,0.9091,M2
CC NG 9,0.9091,M3
CC NG 9,0.9091,M4
CC NG 9,0.9091,M5
CC NG 9,0.9091,M6
CC NG 9,0.9091,M7
CC NG 9,0.9091,M8
CC NG 9,0.9091,M9
CT NG 1,0.937,M1
CT NG 1,0.937,M10
CT NG 1,0.937,M11
CT NG 1,0.937,M12
CT NG 1,0.937,M2
CT NG 1,0.937,M3
CT NG 1,0.937,M4
CT NG 1,0.937,M5
CT NG 1,0.937,M6
CT NG 1,0.937,M7
CT NG 1,0.937,M8
CT NG 1,0.937,M9
CT NG 10,0.93,M1
CT NG 10,0.93,M10
CT NG 10,0.93,M11
CT NG 10,0.93,M12
CT NG 10,0.93,M2
CT NG 10,0.93,M3
CT NG 10,0.93,M4
CT NG 10,0.93,M5
CT NG 10,0.93,M6
CT NG 10,0.9207,M7
CT NG 10,0.9207,M8
CT NG 10,0.9207,M9
CT NG 11,0.93,M1
CT NG 11,0.93,M10
CT NG 11,0.93,M11
CT NG 11,0.93,M12
CT NG 11,0.93,M2
CT NG 11,0.93,M3
CT NG 11,0.93,M4
CT NG 11,0.93,M5
CT NG 11,0.93,M6
CT NG 11,0.9207,M7
CT NG 11,0.9207,M8
CT NG 11,0.9207,M9
CT NG 12,0.93,M1
CT NG 12,0.93,M10
CT NG 12,0.93,M11
CT NG 12,0.93,M12
CT NG 12,0.93,M2
CT NG 12,0.93,M3
CT NG 12,0.93,M4
CT NG 12,0.93,M5
CT NG 12,0.93,M6
CT NG 12,0.9207,M7
CT NG 12,0.9207,M8
CT NG 12,0.9207,M9
CT NG 13,0.7685,M1
CT NG 13,0.7685,M10
CT NG 13,0.7685,M11
CT NG 13,0.7685,M12
CT NG 13,0.7685,M2
CT NG 13,0.7685,M3
CT NG 13,0.7685,M4
CT NG 13,0.7685,M5
CT NG 13,0.7222,M6
CT NG 13,0.7222,M7
CT NG 13,0.7222,M8
CT NG 13,0.7222,M9
CT NG 14,0.787,M1
CT NG 14,0.787,M10
CT NG 14,0.787,M11
CT NG 14,0.787,M12
CT NG 14,0.787,M2
CT NG 14,0.787,M3
CT NG 14,0.787,M4
CT NG 14,0.787,M5
CT NG 14,0.7454,M6
CT NG 14,0.7454,M7
CT NG 14,0.7454,M8
CT NG 14,0.7454,M9
CT NG 15,0.7731,M1
CT NG 15,0.7731,M10
CT NG 15,0.7731,M11
CT NG 15,0.7731,M12
CT NG 15,0.7731,M2
CT NG 15,0.7731,M3
CT NG 15,0.7731,M4
CT NG 15,0.7731,M5
CT NG 15,0.7176,M6
CT NG 15,0.7176,M7
CT NG 15,0.7176,M8
CT NG 15,0.7176,M9
CT NG 16,0.9218,M1
CT NG 16,0.9218,M10
CT NG 16,0.9218,M11
CT NG 16,0.9218,M12
CT NG 16,0.9218,M2
CT NG 16,0.9218,M3
CT NG 16,0.9218,M4
CT NG 16,0.9034,M5
CT NG 16,0.8666,M6
CT NG 16,0.8666,M7
CT NG 16,0.8666,M8
CT NG 16,0.8941,M9
CT NG 17,1,M1
CT NG 17,1,M10
CT NG 17,1,M11
CT NG 17,1,M12
CT NG 17,1,M2
CT NG 17,1,M3
CT NG 17,1,M4
CT NG 17,1,M5
CT NG 17,1,M6
CT NG 17,1,M7
CT NG 17,1,M8
CT NG 17,1,M9
CT NG 18,0.7692,M1
CT NG 18,0.7692,M10
CT NG 18,0.7692,M11
CT NG 18,0.7692,M12
CT NG 18,0.7692,M2
CT NG 18,0.7692,M3
CT NG 18,0.7692,M4
CT NG 18,0.7673,M5
CT NG 18,0.7179,M6
CT NG 18,0.7179,M7
CT NG 18,0.7179,M8
CT NG 18,0.7179,M9
CT NG 19,0.7692,M1
CT NG 19,0.7692,M10
CT NG 19,0.7692,M11
CT NG 19,0.7692,M12
CT NG 19,0.7692,M2
CT NG 19,0.7692,M3
CT NG 19,0.7692,M4
CT NG 19,0.7673,M5
CT NG 19,0.7179,M6
CT NG 19,0.7179,M7
CT NG 19,0.7179,M8
CT NG 19,0.7179,M9
CT NG 2,0.9606,M1
CT NG 2,0.9606,M10
CT NG 2,0.9606,M11
CT NG 2,0.9606,M12
CT NG 2,0.9606,M2
CT NG 2,0.9606,M3
CT NG 2,0.9606,M4
CT NG 2,0.9606,M5
CT NG 2,0.9606,M6
CT NG 2,0.9606,M7
CT NG 2,0.9606,M8
CT NG 2,0.9606,M9
CT NG 20,0.1101,M1
CT NG 20,0.1101,M10
CT NG 20,0.1101,M11
CT NG 20,0.1101,M12
CT NG 20,0.1101,M2
CT NG 20,0.1101,M3
CT NG 20,0.1101,M4
CT NG 20,0.1101,M5
CT NG 20,0.1101,M6
CT NG 20,0.1101,M7
CT NG 20,0.1101,M8
CT NG 20,0.1101,M9
CT NG 27,0.7,M1
CT NG 27,0.7,M10
CT NG 27,0.7,M11
CT NG 27,0.7,M12
CT NG 27,0.7,M2
CT NG 27,0.7,M3
CT NG 27,0.7,M4
CT NG 27,0.7,M5
CT NG 27,0.7,M6
CT NG 27,0.7,M7
CT NG 27,0.7,M8
CT NG 27,0.7,M9
CT NG 28,0.8065,M1
CT NG 28,0.8065,M10
CT NG 28,0.8065,M11
CT NG 28,0.8065,M12
CT NG 28,0.8065,M2
CT NG 28,0.8065,M3
CT NG 28,0.8065,M4
CT NG 28,0.8065,M5
CT NG 28,0.8065,M6
CT NG 28,0.8065,M7
CT NG 28,0.8065,M8
CT NG 28,0.8065,M9
CT NG 29,0.7,M1
CT NG 29,0.7,M10
CT NG 29,0.7,M11
CT NG 29,0.7,M12
CT NG 29,0.7,M2
CT NG 29,0.7,M3
CT NG 29,0.7,M4
CT NG 29,0.7,M5
CT NG 29,0.7,M6
CT NG 29,0.7,M7
CT NG 29,0.7,M8
CT NG 29,0.7,M9
CT NG 3,0.9697,M1
CT NG 3,0.9697,M10
CT NG 3,0.9697,M11
CT NG 3,0.9697,M12
CT NG 3,0.9697,M2
CT NG 3,0.9697,M3
CT NG 3,0.9697,M4
CT NG 3,0.9697,M5
CT NG 3,0.9697,M6
CT NG 3,0.9697,M7
CT NG 3,0.9697,M8
CT NG 3,0.9697,M9
CT NG 30,0.8056,M1
CT NG 30,0.8056,M10
CT NG 30,0.8056,M11
CT NG 30,0.8056,M12
CT NG 30,0.8056,M2
CT NG 30,0.8056,M3
CT NG 30,0.8056,M4
CT NG 30,0.8056,M5
CT NG 30,0.8056,M6
CT NG 30,0.8056,M7
CT NG 30,0.8056,M8
CT NG 30,0.8056,M9
CT NG 31,0.7,M1
CT NG 31,0.7,M10
CT NG 31,0.7,M11
CT NG 31,0.7,M12
CT NG 31,0.7,M2
CT NG 31,0.7,M3
CT NG 31,0.7,M4
CT NG 31,0.7,M5
CT NG 31,0.7,M6
CT NG 31,0.7,M7
CT NG 31,0.7,M8
CT NG 31,0.7,M9
CT NG 32,0.7,M1
CT NG 32,0.7,M10
CT NG 32,0.7,M11
CT NG 32,0.7,M12
CT NG 32,0.7,M2
CT NG 32,0.7,M3
CT NG 32,0.7,M4
CT NG 32,0.7,M5
CT NG 32,0.7,M6
CT NG 32,0.7,M7
CT NG 32,0.7,M8
CT NG 32,0.7,M9
CT NG 33,0.7,M1
CT NG 33,0.7,M10
CT NG 33,0.7,M11
CT NG 33,0.7,M12
CT NG 33,0.7,M2
CT NG 33,0.7,M3
CT NG 33,0.7,M4
CT NG 33,0.7,M5
CT NG 33,0.7,M6
CT NG 33,0.7,M7
CT NG 33,0.7,M8
CT NG 33,0.7,M9
CT NG 34,1.043,M1
CT NG 34,1.043,M10
CT NG 34,1.043,M11
CT NG 34,1.043,M12
CT NG 34,1.043,M2
CT NG 34,1.043,M3
CT NG 34,1.043,M4
CT NG 34,1.043,M5
CT NG 34,1.01,M6
CT NG 34,1.01,M7
CT NG 34,1.01,M8
CT NG 34,1.01,M9
CT NG 35,1.043,M1
CT NG 35,1.043,M10
CT NG 35,1.043,M11
CT NG 35,1.043,M12
CT NG 35,1.043,M2
CT NG 35,1.043,M3
CT NG 35,1.043,M4
CT NG 35,1.043,M5
CT NG 35,1.01,M6
CT NG 35,1.01,M7
CT NG 35,1.01,M8
CT NG 35,1.01,M9
CT NG 36,1.043,M1
CT NG 36,1.043,M10
CT NG 36,1.043,M11
CT NG 36,1.043,M12
CT NG 36,1.043,M2
CT NG 36,1.043,M3
CT NG 36,1.043,M4
CT NG 36,1.043,M5
CT NG 36,1.01,M6
CT NG 36,1.01,M7
CT NG 36,1.01,M8
CT NG 36,1.01,M9
CT NG 37,0.7,M1
CT NG 37,0.7,M10
CT NG 37,0.7,M11
CT NG 37,0.7,M12
CT NG 37,0.7,M2
CT NG 37,0.7,M3
CT NG 37,0.7,M4
CT NG 37,0.7,M5
CT NG 37,0.7,M6
CT NG 37,0.7,M7
CT NG 37,0.7,M8
CT NG 37,0.7,M9
CT NG 38,0.7,M1
CT NG 38,0.7,M10
CT NG 38,0.7,M11
CT NG 38,0.7,M12
CT NG 38,0.7,M2
CT NG 38,0.7,M3
CT NG 38,0.7,M4
CT NG 38,0.7,M5
CT NG 38,0.7,M6
CT NG 38,0.7,M7
CT NG 38,0.7,M8
CT NG 38,0.7,M9
CT NG 39,0.7,M1
CT NG 39,0.7,M10
CT NG 39,0.7,M11
CT NG 39,0.7,M12
CT NG 39,0.7,M2
CT NG 39,0.7,M3
CT NG 39,0.7,M4
CT NG 39,0.7,M5
CT NG 39,0.7,M6
CT NG 39,0.7,M7
CT NG 39,0.7,M8
CT NG 39,0.7,M9
CT NG 4,0.9697,M1
CT NG 4,0.9697,M10
CT NG 4,0.9697,M11
CT NG 4,0.9697,M12
CT NG 4,0.9697,M2
CT NG 4,0.9697,M3
CT NG 4,0.9697,M4
CT NG 4,0.9697,M5
CT NG 4,0.9697,M6
CT NG 4,0.9697,M7
CT NG 4,0.9697,M8
CT NG 4,0.9697,M9
CT NG 40,1,M1
CT NG 40,0.9323,M10
CT NG 40,0.9323,M11
CT NG 40,0.9323,M12
CT NG 40,1,M2
CT NG 40,1,M3
CT NG 40,1,M4
CT NG 40,1,M5
CT NG 40,0.9323,M6
CT NG 40,0.9323,M7
CT NG 40,0.9323,M8
CT NG 40,0.9323,M9
CT NG 41,0.8519,M1
CT NG 41,0.8519,M10
CT NG 41,0.8519,M11
CT NG 41,0.8519,M12
CT NG 41,0.8519,M2
CT NG 41,0.8519,M3
CT NG 41,0.8519,M4
CT NG 41,0.8519,M5
CT NG 41,0.8519,M6
CT NG 41,0.8519,M7
CT NG 41,0.8519,M8
CT NG 41,0.8519,M9
CT NG 42,0.8738,M1
CT NG 42,0.8738,M10
CT NG 42,0.8738,M11
CT NG 42,0.8738,M12
CT NG 42,0.8738,M2
CT NG 42,0.8738,M3
CT NG 42,0.8738,M4
CT NG 42,0.8738,M5
CT NG 42,0.7689,M6
CT NG 42,0.7689,M7
CT NG 42,0.7689,M8
CT NG 42,0.7689,M9
CT NG 43,1,M1
CT NG 43,1,M10
CT NG 43,1,M11
CT NG 43,1,M12
CT NG 43,1,M2
CT NG 43,1,M3
CT NG 43,1,M4
CT NG 43,1,M5
CT NG 43,1,M6
CT NG 43,1,M7
CT NG 43,1,M8
CT NG 43,1,M9
CT NG 44,1,M1
CT NG 44,0.8285,M10
CT NG 44,0.8285,M11
CT NG 44,0.8285,M12
CT NG 44,1,M2
CT NG 44,1,M3
CT NG 44,1,M4
CT NG 44,1,M5
CT NG 44,0.8285,M6
CT NG 44,0.8285,M7
CT NG 44,0.8285,M8
CT NG 44,0.8285,M9
CT NG 45,1,M1
CT NG 45,0.8285,M10
CT NG 45,0.8285,M11
CT NG 45,0.8285,M12
CT NG 45,1,M2
CT NG 45,1,M3
CT NG 45,1,M4
CT NG 45,1,M5
CT NG 45,0.8285,M6
CT NG 45,0.8285,M7
CT NG 45,0.8285,M8
CT NG 45,0.8285,M9
CT NG 5,0.9118,M1
CT NG 5,0.8936,M10
CT NG 5,0.9118,M11
CT NG 5,0.9118,M12
CT NG 5,0.9118,M2
CT NG 5,0.9118,M3
CT NG 5,0.8936,M4
CT NG 5,0.8844,M5
CT NG 5,0.8753,M6
CT NG 5,0.8753,M7
CT NG 5,0.8753,M8
CT NG 5,0.8844,M9
CT NG 50,0.9804,M1
CT NG 50,0.9804,M10
CT NG 50,0.9804,M11
CT NG 50,0.9804,M12
CT NG 50,0.9804,M2
CT NG 50,0.9804,M3
CT NG 50,0.9804,M4
CT NG 50,0.9804,M5
CT NG 50,0.9804,M6
CT NG 50,0.9804,M7
CT NG 50,0.9804,M8
CT NG 50,0.9804,M9
CT NG 51,0.0257,M1
CT NG 51,0.0254,M10
CT NG 51,0.0254,M11
CT NG 51,0.0254,M12
CT NG 51,0.0254,M2
CT NG 51,0.0254,M3
CT NG 51,0.0254,M4
CT NG 51,0.0254,M5
CT NG 51,0.0254,M6
CT NG 51,0.0254,M7
CT NG 51,0.0254,M8
CT NG 51,0.0254,M9
CT NG 52,0.0233,M1
CT NG 52,0.0231,M10
CT NG 52,0.0231,M11
CT NG 52,0.0231,M12
CT NG 52,0.0231,M2
CT NG 52,0.0231,M3
CT NG 52,0.0231,M4
CT NG 52,0.0231,M5
CT NG 52,0.0231,M6
CT NG 52,0.0231,M7
CT NG 52,0.0231,M8
CT NG 52,0.0231,M9
CT NG 53,0.0233,M1
CT NG 53,0.0231,M10
CT NG 53,0.0231,M11
CT NG 53,0.0231,M12
CT NG 53,0.0231,M2
CT NG 53,0.0231,M3
CT NG 53,0.0231,M4
CT NG 53,0.0231,M5
CT NG 53,0.0231,M6
CT NG 53,0.0231,M7
CT NG 53,0.0231,M8
CT NG 53,0.0231,M9
CT NG 54,0.9639,M1
CT NG 54,0.9639,M10
CT NG 54,0.9639,M11
CT NG 54,0.9639,M12
CT NG 54,0.9639,M2
CT NG 54,0.9639,M3
CT NG 54,0.9639,M4
CT NG 54,0.9639,M5
CT NG 54,0.935,M6
CT NG 54,0.935,M7
CT NG 54,0.935,M8
CT NG 54,0.935,M9
CT NG 55,1.0667,M1
CT NG 55,1.0667,M10
CT NG 55,1.0667,M11
CT NG 55,1.0667,M12
CT NG 55,1.0667,M2
CT NG 55,1.0667,M3
CT NG 55,1.0667,M4
CT NG 55,1.0667,M5
CT NG 55,1.0667,M6
CT NG 55,1.0667,M7
CT NG 55,1.0667,M8
CT NG 55,1.0667,M9
CT NG 56,1.0243,M1
CT NG 56,1.0243,M10
CT NG 56,1.0243,M11
CT NG 56,1.0243,M12
CT NG 56,1.0243,M2
CT NG 56,1.0243,M3
CT NG 56,1.0243,M4
CT NG 56,1.0243,M5
CT NG 56,1.0243,M6
CT NG 56,1.0243,M7
CT NG 56,1.0243,M8
CT NG 56,1.0243,M9
CT NG 6,0.9118,M1
CT NG 6,0.8936,M10
CT NG 6,0.9118,M11
CT NG 6,0.9118,M12
CT NG 6,0.9118,M2
CT NG 6,0.9118,M3
CT NG 6,0.8936,M4
CT NG 6,0.8844,M5
CT NG 6,0.8753,M6
CT NG 6,0.8753,M7
CT NG 6,0.8753,M8
CT NG 6,0.8844,M9
CT NG 66,1.0222,M1
CT NG 66,1.0222,M10
CT NG 66,1.0222,M11
CT NG 66,1.0222,M12
CT NG 66,1.0222,M2
CT NG 66,1.0222,M3
CT NG 66,1.0222,M4
CT NG 66,1.0222,M5
CT NG 66,1.0222,M6
CT NG 66,1.0222,M7
CT NG 66,1.0222,M8
CT NG 66,1.0222,M9
CT NG 67,1.0222,M1
CT NG 67,1.0222,M10
CT NG 67,1.0222,M11
CT NG 67,1.0222,M12
CT NG 67,1.0222,M2
CT NG 67,1.0222,M3
CT NG 67,1.0222,M4
CT NG 67,1.0222,M5
CT NG 67,1.0222,M6
CT NG 67,1.0222,M7
CT NG 67,1.0222,M8
CT NG 67,1.0222,M9
CT NG 68,1.0278,M1
CT NG 68,1.0278,M10
CT NG 68,1.0278,M11
CT NG 68,1.0278,M12
CT NG 68,1.0278,M2
CT NG 68,1.0278,M3
CT NG 68,1.0278,M4
CT NG 68,1.0278,M5
CT NG 68,1.0278,M6
CT NG 68,1.0278,M7
CT NG 68,1.0278,M8
CT NG 68,1.0278,M9
CT NG 69,0.9677,M1
CT NG 69,0.9677,M10
CT NG 69,0.9677,M11
CT NG 69,0.9677,M12
CT NG 69,0.9677,M2
CT NG 69,0.9677,M3
CT NG 69,0.9677,M4
CT NG 69,0.9677,M5
CT NG 69,0.8516,M6
CT NG 69,0.8516,M7
CT NG 69,0.8516,M8
CT NG 69,0.8516,M9
CT NG 7,0.9218,M1
CT NG 7,0.9218,M10
CT NG 7,0.9218,M11
CT NG 7,0.9218,M12
CT NG 7,0.9218,M2
CT NG 7,0.9218,M3
CT NG 7,0.9218,M4
CT NG 7,0.9218,M5
CT NG 7,0.9218,M6
CT NG 7,0.9218,M7
CT NG 7,0.9218,M8
CT NG 7,0.9218,M9
CT NG 70,0.8065,M1
CT NG 70,0.8065,M10
CT NG 70,0.8065,M11
CT NG 70,0.8065,M12
CT NG 70,0.8065,M2
CT NG 70,0.8065,M3
CT NG 70,0.8065,M4
CT NG 70,0.8065,M5
CT NG 70,0.8065,M6
CT NG 70,0.8065,M7
CT NG 70,0.8065,M8
CT NG 70,0.8065,M9
CT NG 71,0.8065,M1
CT NG 71,0.8065,M10
CT NG 71,0.8065,M11
CT NG 71,0.8065,M12
CT NG 71,0.8065,M2
CT NG 71,0.8065,M3
CT NG 71,0.8065,M4
CT NG 71,0.8065,M5
CT NG 71,0.8065,M6
CT NG 71,0.8065,M7
CT NG 71,0.8065,M8
CT NG 71,0.8065,M9
CT NG 74,0.75,M1
CT NG 74,0.75,M10
CT NG 74,0.75,M11
CT NG 74,0.75,M12
CT NG 74,0.75,M2
CT NG 74,0.75,M3
CT NG 74,0.75,M4
CT NG 74,0.75,M5
CT NG 74,0.75,M6
CT NG 74,0.75,M7
CT NG 74,0.75,M8
CT NG 74,0.75,M9
CT NG 75,0.9722,M1
CT NG 75,0.9722,M10
CT NG 75,0.9722,M11
CT NG 75,0.9722,M12
CT NG 75,0.9722,M2
CT NG 75,0.9722,M3
CT NG 75,0.9722,M4
CT NG 75,0.9722,M5
CT NG 75,0.8929,M6
CT NG 75,0.8929,M7
CT NG 75,0.8929,M8
CT NG 75,0.8929,M9
CT NG 9,0.93,M1
CT NG 9,0.93,M10
CT NG 9,0.93,M11
CT NG 9,0.93,M12
CT NG 9,0.93,M2
CT NG 9,0.93,M3
CT NG 9,0.93,M4
CT NG 9,0.93,M5
CT NG 9,0.93,M6
CT NG 9,0.9207,M7
CT NG 9,0.9207,M8
CT NG 9,0.9207,M9
CT Oil 1,0.7383,M1
CT Oil 1,0.7383,M10
CT Oil 1,0.7383,M11
CT Oil 1,0.7383,M12
CT Oil 1,0.7383,M2
CT Oil 1,0.7383,M3
CT Oil 1,0.7383,M4
CT Oil 1,0.7383,M5
CT Oil 1,0.7383,M6
CT Oil 1,0.7383,M7
CT Oil 1,0.7383,M8
CT Oil 1,0.7383,M9
CT Oil 2,0.7383,M1
CT Oil 2,0.7383,M10
CT Oil 2,0.7383,M11
CT Oil 2,0.7383,M12
CT Oil 2,0.7383,M2
CT Oil 2,0.7383,M3
CT Oil 2,0.7383,M4
CT Oil 2,0.7383,M5
CT Oil 2,0.7383,M6
CT Oil 2,0.7383,M7
CT Oil 2,0.7383,M8
CT Oil 2,0.7383,M9
CT Oil 3,0.7383,M1
CT Oil 3,0.7383,M10
CT Oil 3,0.7383,M11
CT Oil 3,0.7383,M12
CT Oil 3,0.7383,M2
CT Oil 3,0.7383,M3
CT Oil 3,0.7383,M4
CT Oil 3,0.7383,M5
CT Oil 3,0.7383,M6
CT Oil 3,0.7383,M7
CT Oil 3,0.7383,M8
CT Oil 3,0.7383,M9
CT Oil 4,1,M1
CT Oil 4,0.7865,M10
CT Oil 4,0.7865,M11
CT Oil 4,0.7865,M12
CT Oil 4,1,M2
CT Oil 4,1,M3
CT Oil 4,1,M4
CT Oil 4,1,M5
CT Oil 4,0.7865,M6
CT Oil 4,0.7865,M7
CT Oil 4,0.7865,M8
CT Oil 4,0.7865,M9
CT Oil 5,1,M1
CT Oil 5,0.7865,M10
CT Oil 5,0.7865,M11
CT Oil 5,0.7865,M12
CT Oil 5,1,M2
CT Oil 5,1,M3
CT Oil 5,1,M4
CT Oil 5,1,M5
CT Oil 5,0.7865,M6
CT Oil 5,0.7865,M7
CT Oil 5,0.7865,M8
CT Oil 5,0.7865,M9
ICE NG 1,0.7,M1
ICE NG 1,0.7,M10
ICE NG 1,0.7,M11
ICE NG 1,0.7,M12
ICE NG 1,0.7,M2
ICE NG 1,0.7,M3
ICE NG 1,0.7,M4
ICE NG 1,0.7,M5
ICE NG 1,0.7,M6
ICE NG 1,0.7,M7
ICE NG 1,0.7,M8
ICE NG 1,0.7,M9
ICE NG 2,0.9762,M1
ICE NG 2,0.9762,M10
ICE NG 2,0.9762,M11
ICE NG 2,0.9762,M12
ICE NG 2,0.9762,M2
ICE NG 2,0.9762,M3
ICE NG 2,0.9762,M4
ICE NG 2,0.9762,M5
ICE NG 2,0.9471,M6
ICE NG 2,0.9471,M7
ICE NG 2,0.9471,M8
ICE NG 2,0.9471,M9
ICE NG 3,0.9762,M1
ICE NG 3,0.9762,M10
ICE NG 3,0.9762,M11
ICE NG 3,0.9762,M12
ICE NG 3,0.9762,M2
ICE NG 3,0.9762,M3
ICE NG 3,0.9762,M4
ICE NG 3,0.9762,M5
ICE NG 3,0.9471,M6
ICE NG 3,0.9471,M7
ICE NG 3,0.9471,M8
ICE NG 3,0.9471,M9
ICE NG 4,0.9762,M1
ICE NG 4,0.9762,M10
ICE NG 4,0.9762,M11
ICE NG 4,0.9762,M12
ICE NG 4,0.9762,M2
ICE NG 4,0.9762,M3
ICE NG 4,0.9762,M4
ICE NG 4,0.9762,M5
ICE NG 4,0.9471,M6
ICE NG 4,0.9471,M7
ICE NG 4,0.9471,M8
ICE NG 4,0.9471,M9
ICE NG 5,0.9762,M1
ICE NG 5,0.9762,M10
ICE NG 5,0.9762,M11
ICE NG 5,0.9762,M12
ICE NG 5,0.9762,M2
ICE NG 5,0.9762,M3
ICE NG 5,0.9762,M4
