Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
CT NG 34,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 34,5.33,5.33,1,1,45,CT NG 34,10919.03,0.6,100,CT NG 34,RT
CT NG 35,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 35,5.33,5.33,1,1,45,CT NG 35,10919.03,0.6,100,CT NG 35,RT
CT NG 36,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 36,5.33,5.33,1,1,45,CT NG 36,10919.03,0.6,100,CT NG 36,RT
CT NG 37,bus107,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 37,1,1,1,1,0,CT NG 37,44.1,0.7,1.3,CT NG 37,RT
CT NG 38,bus090,9.5,-1,,,23.86,7651.79,,,,,9.5,,,,,CT NG 38,1,1,1,1,0,CT NG 38,322.27,0.7,9.5,CT NG 38,RT
CT NG 39,bus112,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 39,1,1,1,1,0,CT NG 39,44.1,0.7,1.3,CT NG 39,RT
CT NG 40,bus112,3.1,-1,,,7.78,7651.79,,,,,3.1,,,,,CT NG 40,1,1,1,1,0.93,CT NG 40,105.16,0.7,3.1,CT NG 40,RT
CT NG 41,bus040,54,-1,,,174.48,7598.82,8210.01,8829.46,9449.21,,37.57,43.2,46.96,54,,CT NG 41,0.8,0.8,8,8,16.2,CT NG 41,1831.85,0.7,54,CT NG 41,RT
CT NG 42,bus036,82.4,-1,,,246.08,10473.15,11076.55,,,,49.44,82.4,,,,CT NG 42,1.33,1.33,2,2,19.78,CT NG 42,2795.27,0.7,82.4,CT NG 42,RT
CT NG 43,bus062,25,-1,,,155.2,9250.24,9764.15,,,,17.17,25,,,,CT NG 43,3.47,3.47,1,1,7.5,CT NG 43,848.08,0.7,25,CT NG 43,RT
CT NG 44,bus055,60.35,-1,,,316.26,8978.49,9480.76,10308.93,,,42.24,54.31,60.35,,,CT NG 44,1.33,1.33,2,2,27.16,CT NG 44,2047.27,0.7,60.35,CT NG 44,RT
CT NG 45,bus055,60.35,-1,,,316.26,8978.49,9480.76,10308.93,,,42.24,54.31,60.35,,,CT NG 45,1.33,1.33,2,2,27.16,CT NG 45,2047.27,0.7,60.35,CT NG 45,RT
CT NG 46,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 47,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 48,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 49,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 50,bus111,49.96,-1,,,260.68,8939.78,9439.89,10264.49,,,33.53,43.12,49.96,,,CT NG 50,2.67,2.67,2,2,22.48,CT NG 50,5455.15,0.6,49.96,CT NG 50,RT
CT NG 51,bus085,8.57,-1,,,81.45,5597,,,,,8.57,,,,,CT NG 51,0.47,0.47,8,8,8.48,CT NG 51,935.76,0.6,8.57,CT NG 51,RT
CT NG 52,bus085,10.71,-1,,,101.79,5597,,,,,10.71,,,,,CT NG 52,0.47,0.47,8,8,10.6,CT NG 52,1169.43,0.6,10.71,CT NG 52,RT
CT NG 53,bus085,10.71,-1,,,101.79,5597,,,,,10.71,,,,,CT NG 53,0.47,0.47,8,8,10.6,CT NG 53,1169.43,0.6,10.71,CT NG 53,RT
CT NG 54,bus111,49.9,-1,,,262.72,9263.61,,,,,49.9,,,,,CT NG 54,2.67,2.67,2,2,22.45,CT NG 54,5448.6,0.6,49.9,CT NG 54,RT
CT NG 55,bus091,15,-1,,,69.1,10324.71,0,12181.54,,,9.38,9.38,15,,,CT NG 55,2.67,2.67,2,2,4.5,CT NG 55,1637.85,0.6,15,CT NG 55,RT
CT NG 56,bus111,46.9,-1,,,243.8,8906.31,9404.55,10226.06,,,30.3,38.96,46.9,,,CT NG 56,2.67,2.67,2,2,21.1,CT NG 56,5121.02,0.6,46.9,CT NG 56,RT
CT NG 66,bus111,45,-1,,,235.82,8978.49,9480.76,10308.93,,,31.5,40.5,45,,,CT NG 66,2.67,2.67,2,2,20.25,CT NG 66,4913.56,0.6,45,CT NG 66,RT
CT NG 67,bus111,45,-1,,,235.82,8978.49,9480.76,10308.93,,,31.5,40.5,45,,,CT NG 67,2.67,2.67,2,2,20.25,CT NG 67,4913.56,0.6,45,CT NG 67,RT
CT NG 68,bus111,46.7,-1,,,244.39,8966.32,9467.92,10294.97,,,32.27,41.49,46.7,,,CT NG 68,1.53,1.53,2,2,21.01,CT NG 68,5099.19,0.6,46.7,CT NG 68,RT
CT NG 69,bus111,49.5,-1,,,588.75,7673.56,7749.16,7824.76,7900.35,7975.95,27.72,33.16,38.61,44.05,49.5,CT NG 69,2.67,2.67,2,2,22.27,CT NG 69,5404.92,0.6,49.5,CT NG 69,RT
CT NG 70,bus111,44.02,-1,,,229.6,8936.58,9436.52,10260.82,,,29.65,37.73,44.02,,,CT NG 70,2.67,2.67,2,2,19.81,CT NG 70,4806.56,0.6,44.02,CT NG 70,RT
CT NG 71,bus111,44.02,-1,,,229.6,8936.58,9436.52,10260.82,,,29.65,37.73,44.02,,,CT NG 71,2.67,2.67,2,2,19.81,CT NG 71,4806.56,0.6,44.02,CT NG 71,RT
CT NG 72,bus112,50,-1,,,594.7,7677.91,7754.45,7831,7907.54,7984.09,28,33.5,39,44.5,50,,5.33,5.33,2,2,22.5,,5459.52,0.6,,,RT
CT NG 73,bus112,50,-1,,,594.7,7677.91,7754.45,7831,7907.54,7984.09,28,33.5,39,44.5,50,,5.33,5.33,2,2,22.5,,5459.52,0.6,,,RT
CT NG 74,bus042,42,-1,,,170.67,7167.39,7743.89,8328.17,8912.73,,24.02,28.1,32.17,42,,CT NG 74,1.23,1.23,4,8,16.8,CT NG 74,4585.99,0.6,42,CT NG 74,RT
CT NG 75,bus049,50.4,-1,,,150.45,10486.36,11082.28,,,,39.9,50.4,,,,CT NG 75,1.33,1.33,1,1,21.91,CT NG 75,5503.19,0.6,50.4,CT NG 75,RT
CT Oil 01,bus026,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 1,1.83,1.83,2,2,22.35,CT Oil 1,2369.32,1.91,74.5,CT Oil 1,RT
CT Oil 02,bus010,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 2,1.83,1.83,2,2,22.35,CT Oil 2,2369.32,1.91,74.5,CT Oil 2,RT
CT Oil 03,bus010,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 3,1.83,1.83,2,2,22.35,CT Oil 3,2369.32,1.91,74.5,CT Oil 3,RT
CT Oil 04,bus054,71.2,-1,,,330.74,10411.8,11151.78,12284.3,,,35.6,56.96,71.2,,,CT Oil 4,1.33,1.33,2,2,21.36,CT Oil 4,2264.37,1.91,71.2,CT Oil 4,RT
CT Oil 05,bus054,71.2,-1,,,330.74,10411.8,11151.78,12284.3,,,35.6,56.96,71.2,,,CT Oil 5,1.33,1.33,2,2,21.36,CT Oil 5,2264.37,1.91,71.2,CT Oil 5,RT
Geo 01,bus055,22,0,DA UC,RT,45.21,4110,,,,,22,,,,,Geo 01,0.07,0.07,6,6,11,Geo 01,0,2.92,22,Geo 01,DA
Hydro 01,bus056,75,1,,,,,,,,,,,,,,,0.83,0.83,1,1,0,,,0,,,DA
Hydro 02,bus056,75,1,,,,,,,,,,,,,,,0.83,0.83,1,1,0,,,0,,,DA
Hydro 03,bus066,77,1,,,,,,,,,,,,,,,0.86,0.86,1,1,0,,,0,,,DA
Hydro 04,bus076,77,1,,,,,,,,,,,,,,,0.86,0.86,1,1,0,,,0,,,DA
Hydro 05,bus049,82,1,,,,,,,,,,,,,,,0.91,0.91,1,1,0,,,0,,,DA
Hydro 06,bus059,1225.31,1,,,,,,,,,,,,,,,1.58,1.58,1,1,0,,,0,,,DA
Hydro 07,bus059,1225.31,1,,,,,,,,,,,,,,,1.58,1.58,1,1,0,,,0,,,DA
Hydro 08,bus061,1225.31,1,,,,,,,,,,,,,,,1.58,1.58,1,1,0,,,0,,,DA
Hydro 09,bus061,1225.31,1,,,,,,,,,,,,,,,1.58,1.58,1,1,0,,,0,,,DA
Hydro 10,bus062,1225.31,1,,,,,,,,,,,,,,,1.58,1.58,1,1,0,,,0,,,DA
Hydro 11,bus076,810.77,1,,,,,,,,,,,,,,,0.78,0.78,1,1,0,,,0,,,DA
Hydro 12,bus077,810.78,1,,,,,,,,,,,,,,,0.78,0.78,1,1,0,,,0,,,DA
Hydro 13,bus059,46.7,1,,,,,,,,,,,,,,,0.52,0.52,1,1,0,,,0,,,DA
Hydro 14,bus099,110,1,,,,,,,,,,,,,,,1.22,1.22,1,1,0,,,0,,,DA
Hydro 15,bus080,140,1,,,,,,,,,,,,,,,1.56,1.56,1,1,0,,,0,,,DA
Hydro 16,bus032,0.8,1,,,,,,,,,,,,,,,0.01,0.01,1,1,0,,,0,Hydro 16,,DA
Hydro 17,bus112,1.35,1,,,,,,,,,,,,,,,0.02,0.02,1,1,0,,,0,Hydro 17,,DA
Hydro 18,bus112,4.65,1,,,,,,,,,,,,,,,0.05,0.05,1,1,0,,,0,Hydro 18,,DA
Hydro 19,bus116,648.44,1,,,,,,,,,,,,,,,0.61,0.61,1,1,0,,,0,Hydro 19,,DA
Hydro 20,bus077,765.77,1,,,,,,,,,,,,,,,0.8,0.8,1,1,0,,,0,Hydro 20,,DA
Hydro 21,bus099,765.77,1,,,,,,,,,,,,,,,0.8,0.8,1,1,0,,,0,Hydro 21,,DA
Hydro 22,bus099,765.77,1,,,,,,,,,,,,,,,0.8,0.8,1,1,0,,,0,Hydro 22,,DA
Hydro 23,bus069,742.63,1,,,,,,,,,,,,,,,0.95,0.95,1,1,0,,,0,Hydro 23,,DA
Hydro 24,bus069,742.63,1,,,,,,,,,,,,,,,0.95,0.95,1,1,0,,,0,Hydro 24,,DA
Hydro 25,bus061,286.46,1,,,,,,,,,,,,,,,0.43,0.43,1,1,0,,,0,Hydro 25,,DA
Hydro 26,bus116,286.46,1,,,,,,,,,,,,,,,0.43,0.43,1,1,0,,,0,Hydro 26,,DA
Hydro 27,bus080,286.46,1,,,,,,,,,,,,,,,0.43,0.43,1,1,0,,,0,Hydro 27,,DA
Hydro 28,bus080,1116.06,1,,,,,,,,,,,,,,,1.67,1.67,1,1,0,,,0,Hydro 28,,DA
Hydro 29,bus080,1116.06,1,,,,,,,,,,,,,,,1.67,1.67,1,1,0,,,0,Hydro 29,,DA
Hydro 30,bus034,0.1,1,,,,,,,,,,,,,,,0,0,1,1,0,,,0,Hydro 30,,DA
Hydro 31,bus034,0.4,1,,,,,,,,,,,,,,,0,0,1,1,0,,,0,Hydro 31,,DA
Hydro 32,bus034,0.48,1,,,,,,,,,,,,,,,0.01,0.01,1,1,0,,,0,Hydro 32,,DA
Hydro 33,bus069,1112.39,1,,,,,,,,,,,,,,,1.06,1.06,1,1,0,,,0,Hydro 33,,DA
Hydro 34,bus069,1112.39,1,,,,,,,,,,,,,,,1.06,1.06,1,1,0,,,0,Hydro 34,,DA
Hydro 35,bus034,0.24,1,,,,,,,,,,,,,,,0,0,1,1,0,,,0,Hydro 35,,DA
Hydro 36,bus034,10.76,1,,,,,,,,,,,,,,,0.02,0.02,1,1,0,,,0,,,DA
Hydro 37,bus036,47.1,1,,,,,,,,,,,,,,,,,1,1,0,,,0,,,DA
Hydro 38,bus034,2.46,1,,,,,,,,,,,,,,,,,1,1,0,,,0,,,DA
Hydro 39,bus034,2.46,1,,,,,,,,,,,,,,,,,1,1,0,,,0,,,DA
Hydro 40,bus065,96.93,1,,,,,,,,,,,,,,,,,1,1,0,,,0,Hydro 40,,DA
Hydro 41,bus046,96.26,1,,,,,,,,,,,,,,,,,1,1,0,,,0,Hydro 41,,DA
Hydro 42,bus042,96.26,1,,,,,,,,,,,,,,,,,1,1,0,,,0,Hydro 42,,DA
Hydro 43,bus099,111.93,1,,,,,,,,,,,,,,,,,1,1,0,,,0,Hydro 43,,DA
ICE NG 01,bus112,3.25,-1,,,9.12,7874.12,,,,,3.25,,,,,ICE NG 1,4.17,4.17,1,1,0,ICE NG 1,34.45,2.12,3.25,ICE NG 1,RT
ICE NG 02,bus056,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 2,1,1,3,5,1.68,ICE NG 2,44.52,1.91,8.4,ICE NG 2,RT
ICE NG 03,bus065,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 3,1,1,3,5,1.68,ICE NG 3,44.52,1.91,8.4,ICE NG 3,RT
ICE NG 04,bus065,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 4,1,1,3,5,1.68,ICE NG 4,44.52,1.91,8.4,ICE NG 4,RT
ICE NG 05,bus077,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 5,1,1,3,5,1.68,ICE NG 5,44.52,1.91,8.4,ICE NG 5,RT
ICE NG 06,bus077,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 6,1,1,3,5,1.68,ICE NG 6,44.52,1.91,8.4,ICE NG 6,RT
ICE NG 07,bus034,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 7,1,1,3,5,1.68,ICE NG 7,44.52,1.91,8.4,ICE NG 7,RT
Solar 01,bus032,746.76,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 01,,
Solar 02,bus092,369.26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 02,,
Solar 03,bus054,264.47,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 03,,
Solar 04,bus032,4.85,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 04,,
Solar 05,bus018,0.12,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 05,,
Solar 06,bus018,6.33,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 06,,
Solar 07,bus018,0.21,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 07,,
Solar 08,bus018,2.51,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 08,,
Solar 09,bus018,12.85,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 09,,
Solar 10,bus015,9.71,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 10,,
Solar 11,bus015,1.98,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 11,,
Solar 12,bus015,1.54,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 12,,
Solar 13,bus015,0.26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 13,,
Solar 14,bus015,11.71,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 14,,
Solar 15,bus015,10.53,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 15,,
Solar 16,bus015,6.6,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 16,,
Solar 17,bus015,3.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 17,,
Solar 18,bus015,12.35,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 18,,
Solar 19,bus015,0.1,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 19,,
Solar 20,bus015,10.08,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 20,,
Solar 21,bus015,18.42,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 21,,
Solar 22,bus015,8.98,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 22,,
Solar 23,bus015,0.29,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 23,,
Solar 24,bus015,1.45,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 24,,
Solar 25,bus015,1.94,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 25,,
Solar 26,bus015,1.8,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 26,,
Solar 27,bus015,1.13,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 27,,
Solar 28,bus015,8.03,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 28,,
Solar 29,bus015,8.63,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 29,,
Solar 30,bus015,4.5,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 30,,
Solar 31,bus104,116.03,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 31,,
Solar 32,bus104,173.97,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 32,,
Solar 33,bus104,132,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 33,,
Solar 34,bus110,125,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 34,,
Solar 35,bus104,45,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 35,,
Solar 36,bus110,128.9,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 36,,
Solar 37,bus112,26,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 37,,
Solar 38,bus112,20,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 38,,
Solar 39,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 39,,
Solar 40,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 40,,
Solar 41,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 41,,
Solar 42,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 42,,
Solar 43,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 43,,
Solar 44,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 44,,
Solar 45,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 45,,
Solar 46,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 46,,
Solar 47,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 47,,
Solar 48,bus112,1.75,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 48,,
Solar 49,bus112,1.1,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 49,,
Solar 50,bus112,4.69,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 50,,
Solar 51,bus112,15.65,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 51,,
Solar 52,bus112,10.64,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 52,,
Solar 53,bus112,16.09,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 53,,
Solar 54,bus112,9.2,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 54,,
Solar 55,bus112,20.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 55,,
Solar 56,bus112,20.07,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 56,,
Solar 57,bus112,6.84,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 57,,
Solar 58,bus112,8.01,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 58,,
Solar 59,bus105,12.42,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 59,,
Solar 60,bus105,15.89,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 60,,
Solar 61,bus105,1.97,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 61,,
Solar 62,bus069,99.9,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 62,,
Solar 63,bus019,60,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 63,,
Solar 64,bus015,21,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 64,,
Solar 65,bus019,64.8,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 65,,
Solar 66,bus018,123.5,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 66,,
Solar 67,bus018,40,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 67,,
Solar 68,bus105,96,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 68,,
Solar 69,bus105,123,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 69,,
Solar 70,bus092,150,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 70,,
Solar 71,bus100,104.99,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 71,,
Solar 72,bus105,25.2,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 72,,
Solar 73,bus069,25,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 73,,
Solar 74,bus076,25,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 74,,
Solar 75,bus055,30,1,,,,,,,,,,,,,,,,,,,0,,,,Solar 75,,
ST Coal 01,bus018,20,0,DA UC,RT,108.8,10171.43,10548.57,10925.71,11302.86,11718.1,19.84,19.88,19.92,19.96,20,ST Coal 1,3.33,3.33,24,48,19.8,ST Coal 1,3116.69,2.99,20,ST Coal 1,DA
ST NG 01,bus070,320,0,DA UC,RT,366.14,9013.97,9230.56,9485.22,9651.8,,100,176.67,253.33,320,,ST NG 1,5.42,5.42,8,12,25.6,ST NG 1,25442.4,0.98,320,ST NG 1,DA
ST NG 02,bus072,325,0,DA UC,RT,573.45,8802.98,9132.97,9826.83,10469.94,,98.42,173.88,249.34,325,,ST NG 2,5.33,5.33,8,12,26,ST NG 2,25839.94,0.98,325,ST NG 2,DA
ST NG 03,bus025,712,0,DA UC,RT,1203.68,8598.56,8605.11,9209.27,9973.45,,222.37,392.85,563.34,712,,ST NG 3,11.83,11.83,8,12,56.96,ST NG 3,56609.34,0.98,712,ST NG 3,DA
ST NG 04,bus019,62.6,0,DA UC,RT,347.69,4282.1,,,,,62.6,,,,,ST NG 4,0.17,0.17,8,12,61.97,ST NG 4,4977.17,0.98,62.6,ST NG 4,DA
ST NG 05,bus024,62.6,0,DA UC,RT,347.69,4282.1,,,,,62.6,,,,,ST NG 5,0.17,0.17,8,12,61.97,ST NG 5,4977.17,0.98,62.6,ST NG 5,DA
ST NG 06,bus092,110.25,0,DA UC,RT,215.73,9806.43,10175.43,10942.81,11651.13,,32.76,57.87,82.98,110.25,,ST NG 6,1.72,1.72,8,12,8.82,ST NG 6,8765.7,0.98,110.25,ST NG 6,DA
ST NG 07,bus092,110.25,0,DA UC,RT,175.41,9932.64,10172.13,10670.12,11129.73,,32.77,57.9,83.03,110.25,,ST NG 7,1.82,1.82,8,12,8.82,ST NG 7,8765.7,0.98,110.25,ST NG 7,DA
ST NG 08,bus092,306,0,DA UC,RT,482.88,9601.15,9846.42,10356.45,10827.2,,91.49,161.64,231.78,306,,ST NG 8,4.98,4.98,8,12,24.48,ST NG 8,24329.29,0.98,306,ST NG 8,DA
ST NG 09,bus092,345.6,0,DA UC,RT,592.26,9197.41,9501.77,10134.7,10718.89,,103.37,182.61,261.86,345.6,,ST NG 9,5.48,5.48,8,12,27.65,ST NG 9,27477.79,0.98,345.6,ST NG 9,DA
ST NG 10,bus105,106.25,0,DA UC,RT,254.48,9367.77,9900.81,11009.53,12032.98,,31.88,56.31,80.75,106.25,,ST NG 10,1.77,1.77,8,12,8.5,ST NG 10,8447.67,0.98,106.25,ST NG 10,DA
ST Other 01,bus024,4.6,0,DA UC,RT,23.46,11819.23,12422.19,13814.7,,,2.79,3.88,4.6,,,ST Other 1,0.05,0.05,6,6,2.07,ST Other 1,365.73,0.98,4.6,ST Other 1,DA
ST Other 02,bus024,30.4,0,DA UC,RT,488.75,5597,,,,,30.4,,,,,ST Other 2,0.62,0.62,1,1,30.1,ST Other 2,966.81,1.91,30.4,ST Other 2,DA
Wind 01,bus024,11.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 01,,
Wind 02,bus024,38,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 02,,
Wind 03,bus024,10,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 03,,
Wind 04,bus024,5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 04,,
Wind 05,bus024,1.1,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 05,,
Wind 06,bus027,24.1,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 06,,
Wind 07,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 07,,
Wind 08,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 08,,
Wind 09,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 09,,
Wind 10,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 10,,
Wind 11,bus027,16.6,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 11,,
Wind 12,bus031,97.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 12,,
Wind 13,bus031,58.7,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 13,,
Wind 14,bus100,400,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 14,,
Wind 15,bus082,50,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 15,,
Wind 16,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 16,,
Wind 17,bus082,149.5,1,,,,,,,,,,,,,,,,,,,0,,,,Wind 17,,
